"phenotype","symbol"
"Cerebrooculofacioskeletal syndrome 4, 610758 (3)","ERCC1"
"Fanconi renotubular syndrome 1 (2)","FRTS1"
"Cardiomyopathy, familial hypertrophic, 9, 613765 (3)","TTN"
"Diamond-Blackfan anemia 1, 105650 (3)","DBA1"
"Creutzfeldt-Jakob disease, 123400 (3)","PRNP"
"Epileptic encephalopathy, early infantile, 36, 300884 (3)","ALG13"
"Microcephaly-capillary malformation syndrome, 614261 (3)","AMSH"
"{Colorectal cancer, susceptibility to, 7} (2)","CRCS7"
"Pseudopseudohypoparathyroidism, 612463 (3)","PITA3"
"Senior-Loken syndrome 6, 610189 (3)","BBS14"
"{Porphyria variegata, susceptibility to}, 176200 (3)","HLA-H"
"Deafness, autosomal dominant 65, 616044 (3)","DOORS"
"Erythrocytosis, 7, 617981 (3)","HBH"
"Episodic ataxia, type 6, 612656 (3)","EA6"
"Amyotrophic lateral sclerosis 19, 615515 (3)","ALS19"
"Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 14, 615352 (3)","KIAA1851"
"Angioedema, hereditary, types I and II, 106100 (3)","SERPING1"
"Pitt-Hopkins-like syndrome 2, 614325 (3)","PTHSL2"
"Mental retardation, autosomal recessive 64, 618103 (3)","LINGO1"
"Ovarian carcinoma, somatic, 167000 (3)","UVO"
"Diarrhea 5, with tufting enteropathy, congenital, 613217 (3)","ACSTD1"
"Jackson-Weiss syndrome, 123150 (3)","BEK"
"?Cataract 41, 116400 (3)","WFRS"
"Megakaryoblastic leukemia, acute (3)","MKL1"
"Peeling skin syndrome 5, 617115 (3)","SERPINB8"
"Spastic paraplegia 39, autosomal recessive, 612020 (3)","NTEMND"
"Retinitis pigmentosa 70, 615922 (3)","PRPF4"
"Alpha-thalassemia/mental retardation syndrome, 301040 (3)","ATRX"
"Senior-Loken syndrome 9, 616629 (3)","TRAF3IP1"
"Immunodeficiency 20, 615707 (3)","CD16"
"Combined oxidative phosphorylation deficiency 28, 616794 (3)","SLC25A26"
"{Breast cancer, susceptibility to}, 114480 (3)","RAD51A"
"Porokeratosis 4, disseminated superficial actinic (2)","POROK4"
"Ciliary dyskinesia, primary, 32, 616481 (3)","RSP3"
"Roussy-Levy syndrome, 180800 (3)","CMT1E"
"{Diabetes mellitus, type I, susceptibility to}, 222100 (3)","PIDX"
"{Hemangioma, capillary infantile, susceptibility to}, 602089 (3)","KDR"
"Immunodeficiency 43, 241600 (3)","IMD43"
"Mental retardation, X-linked syndromic 5, 304340 (3)","MRXS21"
"Joubert syndrome 5, 610188 (3)","BBS14"
"Lopes-Maciel-Rodan syndrome, 617435 (3)","HD"
"Wolfram syndrome 1, 222300 (3)","WFSL"
"UV-sensitive syndrome 1, 600630 (3)","UVSS1"
"Ayme-Gripp syndrome, 601088 (3)","AYGRP"
"Epileptic encephalopathy, early infantile, 23, 615859 (3)","KIAA1771"
"Porokeratosis 4, disseminated superficial actinic (2)","DSAP2"
"Waardenburg syndrome, type 2D, 608890 (3)","WS2D"
"Linear skin defects with multiple congenital anomalies 3, 300952 (3)","NDUFB11"
"Marinesco-Sjogren syndrome, 248800 (3)","BAP"
"{Budd-Chiari syndrome}, 600880 (3)","RPRGL1"
"?Craniofacial anomalies and anterior segment dysgenesis syndrome, 614195 (3)","RINX"
"Dentinogenesis imperfecta, Shields type III, 125500 (3)","DSPP"
"Jervell and Lange-Nielsen syndrome 2, 612347 (3)","KCNE1"
"SED congenita, 183900 (3)","COL2A1"
"Colorectal cancer, hereditary nonpolyposis, type 6, 614331 (3)","MFS2"
"Woolly hair, autosomal recessive 2 with or without hypotrichosis, 604379 (3)","LIPH"
"?Tetra-amelia syndrome 1, 273395 (3)","WNT3"
"Polyposis syndrome, mixed hereditary 1 (4)","HMPS1"
"Spinocerebellar ataxia 29, congenital nonprogressive, 117360 (3)","ITPR1"
"Arts syndrome, 301835 (3)","DFNX1"
"Deafness, autosomal recessive 1A, 220290 (3)","KID"
"Spastic paraplegia 55, autosomal recessive, 615035 (3)","SPG55"
"?Diarrhea 7, protein-losing enteropathy type, 615863 (3)","DIAR7"
"Cardiomyopathy, dilated, 1BB, 612877 (3)","DSG2"
"ABCD syndrome, 600501 (3)","ABCDS"
"[Blood group, Lewis] (3)","FUT3"
"Androgen insensitivity, 300068 (3)","SMAX1"
"Factor V deficiency, 227400 (3)","F5"
"Epileptic encephalopathy, early infantile, 56, 617665 (3)","YWHAG"
"Hypertrophic osteoarthropathy, primary, autosomal recessive 2, 614441 (3)","SLCO2A1"
"Immunodeficiency 20, 615707 (3)","IGFR3"
"Leukemia, T-cell acute lymphoblastic (2)","RBTN1"
"Epileptic encephalopathy, early infantile, 49, 617281 (3)","RAB6IP1"
"Hypocalciuric hypercalcemia, type III, 600740 (3)","AP2S1"
"Muscular dystrophy-dystroglycanopathy (congenital with or without mental retardation), type B, 5, 606612 (3)","MDC1C"
"Ethylmalonic encephalopathy, 602473 (3)","D83198"
"LDL cholesterol level QTL2, 143890 (3)","LDLCQ2"
"MODY, type III, 600496 (3)","HNF1A"
"Spastic paraplegia 45, autosomal recessive, 613162 (3)","PNT5"
"Spinocerebellar ataxia 8, 608768 (3)","SCA8"
"Ceroid lipofuscinosis, neuronal, 13, Kufs type, 615362 (3)","CLN13"
"Muscular dystrophy, congenital, merosin deficient or partially deficient, 607855 (3)","LAMM"
"Feingold syndrome 1, 164280 (3)","MODED"
"Molybdenum cofactor deficiency B, 252160 (3)","MPTS"
"Dermatofibrosarcoma protuberans, 607907 (3)","IBGC5"
"?Cardiomyopathy, dilated, 1M, 607482 (3)","CSRP3"
"{Atopy, susceptibility to}, 147050 (3)","PAFAD"
"Brachydactyly, type A1, C, 615072 (3)","SYNS2"
"{Multiple sclerosis, susceptibility to, 1}, 126200 (3)","CELIAC1"
"{Diabetes mellitus, noninsulin-dependent, 5}, 616087 (3)","NIDDM5"
"{?Major affective disorder 2} (2)","MDX"
"Myasthenic syndrome, congenital, 4A, slow-channel, 605809 (3)","CMS4B"
"Acrofacial dysostosis, Cincinnati type, 616462 (3)","RPA194"
"[Blood group, Indian system], 609027 (3)","MDU3"
"?Thrombocytopenia 6, 616937 (3)","ASV"
"Spinocerebellar ataxia, autosomal recessive 18, 616204 (3)","GRID2"
"?Sudden cardiac failure, alcohol-induced, 617223 (3)","SCFAI"
"Cholestasis, benign recurrent intrahepatic, 2, 605479 (3)","SPGP"
"Premature aging syndrome, Penttinen type, 601812 (3)","PDGFRB"
"Coenzyme Q10 deficiency, primary, 7, 616276 (3)","COQ4"
"ACTH-independent macronodular adrenal hyperplasia, 219080 (3)","GNAS"
"Duane retraction syndrome 3, 617041 (3)","MAFB"
"{Schizophrenia, susceptibility to}, 181500 (3)","MTHFR"
"Heterotaxy, visceral, 2, autosomal, 605376 (3)","HTX2"
"[Blood group, Raph], 179620 (3)","PETA3"
"Arthrogryposis multiplex congenita, distal, type 1, 108120 (3)","AMCD1"
"Anterior segment dysgenesis 1, multiple subtypes, 107250 (3)","CTPP4"
"Gastric cancer, somatic, 613659 (3)","TK14"
"Joubert syndrome 10, 300804 (3)","JBTS10"
"Nephronophthisis 12, 613820 (3)","THM1"
"MEHMO syndrome, 300148 (3)","MRXSBRK"
"Cone-rod dystrophy, X-linked, 3, 300476 (3)","CSNB2A"
"?Spondyloepiphyseal dysplasia, Kimberley type, 608361 (3)","ACAN"
"Palmoplantar hyperkeratosis with squamous cell carcinoma of skin and sex reversal, 610644 (3)","FLJ40906"
"Short stature with nonspecific skeletal abnormalities, 616255 (3)","SNSK"
"Erythrocytosis, familial, 3, 609820 (3)","C1orf12"
"Fibromatosis, gingival, 5, 617626 (3)","WT6"
"Myopathy, proximal, with early respiratory muscle involvement, 603689 (3)","MPRM"
"Progressive external ophthalmoplegia, autosomal dominant 1, 157640 (3)","SANDO"
"Neuronopathy, distal hereditary motor, type IX, 617721 (3)","WARS"
"{Asthma, susceptibility to, 1}, 607277 (3)","PTGDR"
"Cornea plana 2, autosomal recessive, 217300 (3)","KERA"
"Aortic valve disease 2, 614823 (3)","MADH6"
"[Skin/hair/eye pigmentation 3, light/dark/freckling skin], 601800 (3)","TYR"
"{Systemic lupus erythematous, association with susceptibility to, 6}, 609939 (3)","MAC1A"
"Cerebral palsy, spastic quadriplegic, 3, 617008 (3)","ADDL"
"Leukemia/lymphoma, T-cell (2)","TML1"
"Amyotrophic lateral sclerosis 17, 614696 (3)","DMT1"
"Short stature, brachydactyly, intellectual developmental disability, and seizures, 617157 (3)","KIAA1933"
"Spinocerebellar ataxia 11, 604432 (3)","TTBK2"
"{Prostate cancer, hereditary, 12}, 611868 (3)","EHBP1"
"Cardiomyopathy, dilated, 1I, 604765 (3)","CMD1I"
"Retinitis pigmentosa 3, 300029 (3)","COD1"
"MEDNIK syndrome, 609313 (3)","MEDNIK"
"{Medulloblastoma}, 155255 (3)","FANCD1"
"Spinal muscular atrophy with congenital bone fractures 1, 616866 (3)","SMABF1"
"Anemia, sideroblastic, 2, pyridoxine-refractory, 205950 (3)","SLC25A38"
"Colorectal cancer, somatic, 114500 (3)","MRMV1"
"{Epilepsy, idiopathic generalized, susceptibility to, 6}, 611942 (3)","CACNA1H"
"Ehlers-Danlos syndrome, spondylodysplastic type, 1, 130070 (3)","EDSSPD1"
"Mucopolysaccharidosis type IIIA (Sanfilippo A), 252900 (3)","SGSH"
"{Hemolytic uremic syndrome, atypical, susceptibility to, 6}, 612926 (3)","THBD"
"Cardiomyopathy, hypertrophic, 25, 607487 (3)","LGMDR7"
"Immunodeficiency 23, 615816 (3)","IMD23"
"Thyroid dyshormonogenesis 2A, 274500 (3)","TPX"
"Okur-Chung neurodevelopmental syndrome, 617062 (3)","CK2A1"
"Spastic paraplegia 11, autosomal recessive, 604360 (3)","ALS5"
"Usher syndrome, type 1F, 602083 (3)","PCDH15"
"Glycosylphosphatidylinositol biosynthesis defect 16, 617816 (3)","GPI2"
"Gray platelet syndrome, 139090 (3)","GPS"
"Bone marrow failure syndrome 3, 617052 (3)","DNAJA5"
"Leukemia/lymphoma, T-cell (2)","TCL1A"
"Methylmalonic aciduria, transient, due to transcobalamin receptor defect, 613646 (3)","CD320"
"Retinitis pigmentosa 75, 617023 (3)","CCP5"
"Mental retardation, autosomal recessive 12, 611090 (3)","MRT12"
"Chromosome 5q14.3 deletion syndrome, 613443 (4)","C5DELq14.3"
"Primary lateral sclerosis, juvenile, 606353 (3)","PLSJ"
"Deafness, autosomal recessive 12, 601386 (3)","USH1D"
"Ectodermal dysplasia 4, hair/nail type, 602032 (3)","KRTHB5"
"Leukoencephalopathy with vanishing white matter, 603896 (3)","EIF2B5"
"Methylmalonic aciduria and homocystinuria, cblF type, 277380 (3)","LMBRD1"
"Familial cold autoinflammatory syndrome 3, 614468 (3)","APLAID"
"Immunodeficiency 7, TCR-alpha/beta deficient, 615387 (3)","IMD7"
"Arrhythmogenic right ventricular dysplasia 1, 107970 (3)","LDS5"
"[Dystransthyretinemic hyperthyroxinemia], 145680 (3)","TTR"
"{Breast cancer, male, susceptibility to}, 114480 (3)","PNCA2"
"White sponge nevus 2, 615785 (3)","WSN2"
"Retinitis pigmentosa 64, 614500 (3)","BBS21"
"Immunodeficiency 44, 616636 (3)","STAT2"
"Otopalatodigital syndrome, type II, 304120 (3)","CVD1"
"{Rhabdoid tumor predisposition syndrome 1}, 609322 (3)","RDT"
"Goiter, multinodular 1, with or without Sertoli-Leydig cell tumors, 138800 (3)","DICER1"
"Orofaciodigital syndrome V, 174300 (3)","OFD5"
"Hemophilia A, 306700 (3)","HEMA"
"Bent bone dysplasia syndrome, 614592 (3)","CFD1"
"Mental retardation, X-linked syndromic 7 (2)","MRXS7"
"Hereditary motor and sensory neuropathy, type IIc, 606071 (3)","SPSMA"
"?Cowden syndrome 7, 616858 (3)","SEC23B"
"Deafness, autosomal dominant 73, 617663 (3)","PTPRQ"
"Bethlem myopathy 1, 158810 (3)","DYT27"
"Lymphedema, hereditary, IC, 613480 (3)","PMLDAR"
"?Long QT syndrome-11, 611820 (3)","AKAP450"
"Epileptic encephalopathy, early infantile, 58, 617830 (3)","TRKB"
"Epilepsy, familial temporal lobe, 6 (2)","ETL6"
"Syndactyly, type 1, with or without craniosynostosis (4)","SD1"
"Trigonocephaly 1, 190440 (3)","KAL2"
"?Hydrolethalus syndrome 2, 614120 (3)","ACLS"
"Hypophosphatemic rickets, autosomal recessive, 2, 613312 (3)","ENPP1"
"{Fatty liver disease, nonalcoholic, susceptibility to, 1} (2)","NAFLD1"
"Tooth agenesis, selective, 4, 150400 (3)","SSPS"
"Hypophosphatemic rickets, autosomal recessive, 2, 613312 (3)","M6S1"
"MASS syndrome, 604308 (3)","FBN1"
"Sveinsson chorioretinal atrophy, 108985 (3)","REF1"
"Cardiomyopathy, dilated, 1H (2)","CMD1H"
"{Aplastic anemia, susceptibility to}, 609135 (3)","SDS"
"[Body mass index QTL6] (2)","BMIQ6"
"?Glucocorticoid deficiency 5, 617825 (3)","TRXR2"
"Bone marrow failure syndrome 4, 618116 (3)","2ADUB"
"Urofacial syndrome 1, 236730 (3)","UFS1"
"Atrial septal defect 3, 614089 (3)","CMH14"
"Spinocerebellar ataxia, autosomal recessive 21, 616719 (3)","SCYL1"
"?Ciliary dyskinesia, primary, 37, 617577 (3)","DNAH1"
"Mental retardation, autosomal recessive 39, 615541 (3)","TTI2"
"Bartter syndrome, type 1, 601678 (3)","SLC12A1"
"Cataract 21, multiple types, 610202 (3)","CCA4"
"Tarsal-carpal coalition syndrome, 186570 (3)","SYNS1A"
"Clubfoot, congenital, with or without deficiency of long bones and/or mirror-image polydactyly, 119800 (3)","PITX1"
"Orofaciodigital syndrome VI, 277170 (3)","OFD6"
"Joubert syndrome 27, 617120 (3)","MKS9"
"Multiple synostoses syndrome 4, 617898 (3)","GDF6"
"{Kuru, susceptibility to}, 245300 (3)","KURU"
"Marfan syndrome, 154700 (3)","GPHYSD2"
"Metaphyseal anadysplasia 2, 613073 (3)","MMP9"
"Cocoon syndrome, 613630 (3)","IKBKA"
"Joubert syndrome 17, 614615 (3)","C5orf42"
"{?Thyroid cancer, nonmedullary, 5}, 616535 (3)","NMTC5"
"Usher syndrome, type 2C, 605472 (3)","USH2C"
"Beaulieu-Boycott-Innes syndrome, 613680 (3)","BBIS"
"Nystagmus 7, congenital, autosomal dominant (2)","NYS7"
"Pfeiffer syndrome, 101600 (3)","BBDS"
"?Polymicrogyria, bilateral temporooccipital, 612691 (3)","ALS11"
"Peroxisome biogenesis disorder 8B, 614877 (3)","PBD8A"
"Chromosome 1p36 deletion syndrome (4)","C1DELp36"
"Mental retardation, autosomal recessive 39, 615541 (3)","C8orf41"
"[Cholesterol level QTL 1] (2)","CLF"
"Cardiomyopathy, hypertrophic, 7, 613690 (3)","CMD1FF"
"Immunodeficiency 35, 611521 (3)","IMD35"
"[Kininogen deficiency], 228960 (3)","KNG1"
"Mental retardation, autosomal dominant 41 , 616944 (3)","C21"
"Andersen syndrome, 170390 (3)","KIR2.1"
"Fumarase deficiency, 606812 (3)","FH"
"Dystonia 9, 601042 (3)","SDCHCN"
"Hypomagnesemia 3, renal, 248250 (3)","PCLN1"
"Atrial septal defect 9, 614475 (3)","PACHD"
"?Cardiomyopathy, dilated, 1J, 605362 (3)","DFNA10"
"Dementia, familial Danish, 117300 (3)","RDGCA"
"Macular degeneration, juvenile, 248200 (3)","ACHM3"
"Marshall syndrome, 154780 (3)","COL11A1"
"Lipoprotein glomerulopathy, 611771 (3)","LPG"
"[Blood group, Langereis system], 111600 (3)","LAN"
"Epilepsy, nocturnal frontal lobe, 1, 600513 (3)","ENFL1"
"Hypophosphatasia, infantile, 241500 (3)","TNSALP"
"Medullary cystic kidney disease 2, 603860 (3)","MCKD2"
"Ataxia-telangiectasia-like disorder 1, 604391 (3)","MRE11A"
"Wilms tumor 2, 194071 (3)","H19"
"?Mitochondrial complex IV deficiency, 220110 (3)","RESA1"
"Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract, 612674 (3)","PHARC"
"{Hirschsprung disease, susceptibility to, 3}, 613711 (3)","GDNF"
"Leukemia, juvenile myelomonocytic, 607785 (3)","NFNS"
