"symbol","haploinsufficiency","triplosensitivity","online_report","date"
"ADNP","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADNP&subject=","2019-08-28"
"ADSL","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ADSL&subject=","2017-12-06"
"AFF2","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AFF2&subject=","2019-08-22"
"AGA","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AGA&subject=","2017-05-31"
"AGK","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AGK&subject=","2017-05-31"
"AGPAT2","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AGPAT2&subject=","2018-10-23"
"AGRN","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AGRN&subject=","2018-11-09"
"AGT","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AGT&subject=","2017-06-01"
"AGTR2","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AGTR2&subject=","2017-05-31"
"AGXT","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AGXT&subject=","2018-10-17"
"AHCY","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AHCY&subject=","2017-05-31"
"AHDC1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AHDC1&subject=","2019-08-28"
"AHI1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AHI1&subject=","2017-12-06"
"AICDA","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AICDA&subject=","2017-06-01"
"AIMP1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AIMP1&subject=","2018-10-25"
"AKT2","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AKT2&subject=","2017-05-31"
"AKT3","Minimal Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AKT3&subject=","2017-05-31"
"ALAD","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALAD&subject=","2018-10-16"
"ALDH1A3","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALDH1A3&subject=","2018-10-18"
"ALDH3A2","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALDH3A2&subject=","2018-10-18"
"ALDH4A1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALDH4A1&subject=","2017-05-31"
"ALDH5A1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALDH5A1&subject=","2018-11-12"
"ALDOA","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALDOA&subject=","2017-05-31"
"ALG1","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALG1&subject=","2017-05-31"
"ALG12","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALG12&subject=","2018-10-17"
"ALG2","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALG2&subject=","2017-05-31"
"ALG6","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALG6&subject=","2017-05-31"
"ALMS1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALMS1&subject=","2018-10-22"
"ALS2","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALS2&subject=","2018-10-17"
"ALX4","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ALX4&subject=","2019-08-13"
"AMH","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AMH&subject=","2017-05-31"
"AMN","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AMN&subject=","2018-10-17"
"ANGPTL3","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ANGPTL3&subject=","2017-05-31"
"ANK2","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ANK2&subject=","2019-08-28"
"ANKRD11","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ANKRD11&subject=","2019-08-22"
"ANKS6","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ANKS6&subject=","2017-06-01"
"ANOS1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ANOS1&subject=","2019-08-22"
"ANTXR2","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ANTXR2&subject=","2018-10-17"
"AP1S2","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AP1S2&subject=","2019-08-22"
"AP4B1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AP4B1&subject=","2018-10-23"
"AP4S1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AP4S1&subject=","2018-10-25"
"APC","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=APC&subject=","2019-08-22"
"APOB","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=APOB&subject=","2017-05-31"
"APOC2","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=APOC2&subject=","2017-05-31"
"APP","No Evidence for Haploinsufficiency","Moderate Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=APP&subject=","2017-05-31"
"AR","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AR&subject=","2019-08-14"
"ARCN1","Some Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARCN1&subject=","2018-07-12"
"ARFGEF2","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARFGEF2&subject=","2018-10-17"
"ARG1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARG1&subject=","2018-10-18"
"ARHGAP31","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARHGAP31&subject=","2017-05-31"
"ARHGEF4","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARHGEF4&subject=","2018-04-05"
"ARHGEF6","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARHGEF6&subject=","2018-10-10"
"ARHGEF9","Some Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARHGEF9&subject=","2017-06-13"
"ARID1A","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARID1A&subject=","2019-08-28"
"ARID1B","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARID1B&subject=","2019-08-22"
"ARID2","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARID2&subject=","2019-08-28"
"ARL6","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARL6&subject=","2018-10-17"
"ARL6IP1","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARL6IP1&subject=","2017-05-31"
"ARSA","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARSA&subject=","2017-05-31"
"ARSD","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARSD&subject=","2017-05-31"
"ARSE","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARSE&subject=","2019-08-22"
"ARX","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ARX&subject=","2019-08-22"
"ASAH1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ASAH1&subject=","2017-09-11"
"ASH1L","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ASH1L&subject=","2019-08-28"
"ASL","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ASL&subject=","2018-10-17"
"ASPA","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ASPA&subject=","2018-10-17"
"ASPH","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ASPH&subject=","2017-05-31"
"ASPM","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ASPM&subject=","2018-11-09"
"ASXL1","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ASXL1&subject=","2019-08-22"
"ASXL2","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ASXL2&subject=","2018-10-08"
"ASXL3","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ASXL3&subject=","2019-08-28"
"ATCAY","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ATCAY&subject=","2018-10-17"
"ATF6","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ATF6&subject=","2017-05-31"
"ATP10A","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ATP10A&subject=","2017-06-01"
"ATP13A2","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ATP13A2&subject=","2018-10-22"
"ATP2A1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ATP2A1&subject=","2018-10-17"
"ATP2C2","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ATP2C2&subject=","2018-09-17"
"ATP6AP2","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ATP6AP2&subject=","2017-06-01"
"ATP6V0A2","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ATP6V0A2&subject=","2018-10-25"
"ATP6V0A4","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ATP6V0A4&subject=","2018-10-17"
"ATP6V1E1","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ATP6V1E1&subject=","2017-05-31"
"ATP7A","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ATP7A&subject=","2019-08-22"
"ATP7B","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ATP7B&subject=","2017-05-31"
"ATP8A2","Minimal Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ATP8A2&subject=","2017-05-31"
"ATPAF2","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ATPAF2&subject=","2018-10-25"
"ATRX","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=ATRX&subject=","2019-08-22"
"AUTS2","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AUTS2&subject=","2019-08-22"
"AVPR2","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AVPR2&subject=","2019-08-22"
"AXIN2","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=AXIN2&subject=","2019-08-28"
"B3GALNT2","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=B3GALNT2&subject=","2018-10-16"
"B3GALT6","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=B3GALT6&subject=","2018-10-17"
"B4GALT1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=B4GALT1&subject=","2018-10-17"
"B4GALT7","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=B4GALT7&subject=","2018-11-13"
"B9D1","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=B9D1&subject=","2018-10-18"
"BAG3","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=BAG3&subject=","2019-08-22"
"BBS12","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=BBS12&subject=","2018-10-18"
"BBS5","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=BBS5&subject=","2017-05-31"
"BBS7","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=BBS7&subject=","2017-05-31"
"BCHE","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=BCHE&subject=","2018-10-16"
"BCKDHB","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=BCKDHB&subject=","2018-10-25"
"BCKDK","Gene Associated with Autosomal Recessive Phenotype",NULL,"https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=BCKDK&subject=","2017-06-01"
"BCL11A","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=BCL11A&subject=","2019-08-22"
"BCL2L11","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://www.ncbi.nlm.nih.gov/projects/dbvar/clingen/clingen_gene.cgi?sym=BCL2L11&subject=","2018-06-21"
